State_Name,Assembly_No,Constituency_No,Year,month,DelimID,Poll_No,Position,Candidate,Sex,Party,Votes,Age,Candidate_Type,Valid_Votes,Electors,Constituency_Name,Constituency_Type,District_Name,Sub_Region,N_Cand,Turnout_Percentage,Vote_Share_Percentage,Deposit_Lost,Margin,Margin_Percentage,ENOP,pid,Party_Type_TCPD,Party_ID,last_poll,Contested,Last_Party,Last_Party_ID,Last_Constituency_Name,Same_Constituency,Same_Party,No_Terms,Turncoat,Incumbent,Recontest,MyNeta_education,TCPD_Prof_Main,TCPD_Prof_Main_Desc,TCPD_Prof_Second,TCPD_Prof_Second_Desc,Election_Type
Telangana,2,1,2018,12,4,0,1,KONERU KONAPPA,M,TRS,83088,,,164288,190934,SIRPUR,GEN,ADILABAD,TELANGANA,12,86.04,50.57,no,24036,14.63,2.56,AEAP1,State-based Party,8284,TRUE,2,BSP,16651,SIRPUR,TRUE,FALSE,2,TRUE,TRUE,TRUE,12th Pass,Agriculture,,,,State Assembly Election (AE)
Telangana,2,1,2018,12,4,0,2,DR. PALVAI HARISH BABU,M,INC,59052,,,164288,190934,SIRPUR,GEN,ADILABAD,TELANGANA,12,86.04,35.94,no,52773,32.12,2.56,AEAP815627,National Party,3482,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,Post Graduate,Liberal Profession or Professional,Doctor,,,State Assembly Election (AE)
Telangana,2,1,2018,12,4,0,3,DR.KOTTAPELLI SRINIVAS,M,BJP,6279,,,164288,190934,SIRPUR,GEN,ADILABAD,TELANGANA,12,86.04,3.82,yes,900,0.55,2.56,AEAP815625,National Party,1605,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,Post Graduate,Liberal Profession or Professional,Doctor,,,State Assembly Election (AE)
Telangana,2,1,2018,12,4,0,4,RRAAVI SRINWASS,M,BSP,5379,,,164288,190934,SIRPUR,GEN,ADILABAD,TELANGANA,12,86.04,3.27,yes,1340,0.82,2.56,AEAP815629,State-based Party (Other State),16651,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,Graduate,Social Work,,,,State Assembly Election (AE)
Telangana,2,1,2018,12,4,0,5,TALLAPALLI THIRUPATHI,M,IND,4039,,,164288,190934,SIRPUR,GEN,ADILABAD,TELANGANA,12,86.04,2.46,yes,2460,1.5,2.56,AEAP815641,Independents,10809,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,Graduate,Agriculture,,,,State Assembly Election (AE)
Telangana,2,1,2018,12,4,0,6,None of the Above,,NOTA,1579,,,164288,190934,SIRPUR,GEN,ADILABAD,TELANGANA,12,86.04,0.96,,500,0.3,2.56,,NOTA,5897,TRUE,,,,,,,,,,,,,,,,State Assembly Election (AE)
Telangana,2,1,2018,12,4,0,7,DASARI VENKATESH,M,IND,1079,,,164288,190934,SIRPUR,GEN,ADILABAD,TELANGANA,12,86.04,0.66,yes,66,0.04,2.56,AEAP81548,Independents,10809,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,Graduate Professional,Small Business or Self-employed,Shop Keeper,,,State Assembly Election (AE)
Telangana,2,1,2018,12,4,0,8,CHILAKAMMA EDLA,F,PPOI,1013,,,164288,190934,SIRPUR,GEN,ADILABAD,TELANGANA,12,86.04,0.62,yes,280,0.17,2.56,AEAP815635,Local Party,6298,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,Illiterate,Small Business or Self-employed,,,,State Assembly Election (AE)
Telangana,2,1,2018,12,4,0,9,KUDAKA KISHORE,M,API,733,,,164288,190934,SIRPUR,GEN,ADILABAD,TELANGANA,12,86.04,0.45,yes,138,0.08,2.56,AEAP815631,Local Party,880,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,Graduate,Student,,,,State Assembly Election (AE)
Telangana,2,1,2018,12,4,0,10,GANTA PENTANNA,M,IND,595,,,164288,190934,SIRPUR,GEN,ADILABAD,TELANGANA,12,86.04,0.36,yes,83,0.05,2.56,AEAP81546,Independents,10809,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,Post Graduate,Liberal Profession or Professional,Lawyer,,,State Assembly Election (AE)
Telangana,2,1,2018,12,4,0,11,JADI DILEEP,M,BMUP,512,,,164288,190934,SIRPUR,GEN,ADILABAD,TELANGANA,12,86.04,0.31,yes,1,0,2.56,AEAP815637,Local Party,1074,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,10th Pass,Liberal Profession or Professional,Doctor,,,State Assembly Election (AE)
Telangana,2,1,2018,12,4,0,12,KOTA VENKANNA,M,BJLP,511,,,164288,190934,SIRPUR,GEN,ADILABAD,TELANGANA,12,86.04,0.31,yes,82,0.05,2.56,AEAP815633,Local Party,1275,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,5th Pass,Business,,,,State Assembly Election (AE)
Telangana,2,1,2018,12,4,0,13,RAMCHANDER,M,PRBP,429,,,164288,190934,SIRPUR,GEN,ADILABAD,TELANGANA,12,86.04,0.26,yes,0,0,2.56,AEAP815639,Local Party,6067,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,12th Pass,Small Business or Self-employed,Self-employed,,,State Assembly Election (AE)
Telangana,2,2,2018,12,4,0,1,BALKA SUMAN,M,TRS,71980,,,135664,164194,CHENNUR,SC,ADILABAD,TELANGANA,14,82.62,53.06,no,28132,20.74,2.63,AEAP818417,State-based Party,8284,TRUE,1,,,,,,1,FALSE,FALSE,FALSE,Post Graduate,Politics,Party Worker,,,State Assembly Election (AE)
Telangana,2,2,2018,12,4,0,2,VENKATESH NETHA BORLAKUNTA,M,INC,43848,,,135664,164194,CHENNUR,SC,ADILABAD,TELANGANA,14,82.62,32.32,no,37574,27.7,2.63,AEAP815647,National Party,3482,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,Doctorate,Former Government,Ex Civil Service,Agriculture,,State Assembly Election (AE)
